Date,vacation: (Poland)
2004-01,42
2004-02,100
2004-03,66
2004-04,90
2004-05,82
2004-06,51
2004-07,80
2004-08,51
2004-09,41
2004-10,46
2004-11,51
2004-12,79
2005-01,67
2005-02,44
2005-03,19
2005-04,46
2005-05,50
2005-06,63
2005-07,81
2005-08,98
2005-09,41
2005-10,33
2005-11,10
2005-12,33
2006-01,39
2006-02,41
2006-03,66
2006-04,72
2006-05,70
2006-06,46
2006-07,83
2006-08,71
2006-09,57
2006-10,49
2006-11,44
2006-12,51
2007-01,67
2007-02,75
2007-03,89
2007-04,89
2007-05,81
2007-06,96
2007-07,78
2007-08,58
2007-09,49
2007-10,45
2007-11,43
2007-12,52
2008-01,50
2008-02,54
2008-03,50
2008-04,57
2008-05,44
2008-06,50
2008-07,77
2008-08,59
2008-09,36
2008-10,51
2008-11,47
2008-12,25
2009-01,38
2009-02,31
2009-03,18
2009-04,26
2009-05,28
2009-06,31
2009-07,66
2009-08,40
2009-09,25
2009-10,22
2009-11,29
2009-12,34
2010-01,28
2010-02,38
2010-03,35
2010-04,38
2010-05,33
2010-06,53
2010-07,51
2010-08,51
2010-09,28
2010-10,26
2010-11,34
2010-12,35
2011-01,39
2011-02,34
2011-03,32
2011-04,29
2011-05,34
2011-06,53
2011-07,71
2011-08,55
2011-09,30
2011-10,36
2011-11,31
2011-12,44
2012-01,29
2012-02,36
2012-03,34
2012-04,32
2012-05,78
2012-06,50
2012-07,68
2012-08,48
2012-09,37
2012-10,27
2012-11,24
2012-12,33
2013-01,29
2013-02,34
2013-03,27
2013-04,32
2013-05,32
2013-06,38
2013-07,47
2013-08,37
2013-09,28
2013-10,21
2013-11,29
2013-12,42
2014-01,33
2014-02,27
2014-03,29
2014-04,27
2014-05,33
2014-06,41
2014-07,51
2014-08,47
2014-09,31
2014-10,26
2014-11,30
2014-12,39
2015-01,31
2015-02,28
2015-03,29
2015-04,31
2015-05,45
2015-06,54
2015-07,61
2015-08,55
2015-09,76
2015-10,64
2015-11,56
2015-12,76
2016-01,49
2016-02,36
2016-03,39
2016-04,35
2016-05,39
2016-06,56
2016-07,67
2016-08,65
2016-09,36
2016-10,34
2016-11,31
2016-12,46
2017-01,37
2017-02,33
2017-03,28
2017-04,31
2017-05,43
2017-06,42
2017-07,50
2017-08,43
2017-09,33
2017-10,24
2017-11,26
2017-12,35
2018-01,31
2018-02,26
2018-03,30
2018-04,46
2018-05,41
2018-06,53
2018-07,57
2018-08,52
2018-09,46
2018-10,38
2018-11,33
2018-12,46
2019-01,44
2019-02,41
2019-03,35
2019-04,44
2019-05,42
2019-06,65
2019-07,66
2019-08,57
2019-09,50
2019-10,33
2019-11,40
2019-12,50
2020-01,43
2020-02,41
2020-03,36
2020-04,30
2020-05,35
2020-06,47
2020-07,59
2020-08,57
2020-09,39
2020-10,28
2020-11,30
2020-12,37
2021-01,36
2021-02,39
2021-03,35
2021-04,40
2021-05,48
2021-06,61
2021-07,79
2021-08,71
2021-09,55
2021-10,37
2021-11,37
2021-12,69
2022-01,70
2022-02,86
2022-03,47
